trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
160,False,"{'a': 0.5, 'e': 0.9713379748520296}",20,13,-16.743369242763375,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.9709803282910798}",20,0,-163.7561607875128,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
162,False,"{'a': 0.5, 'e': 0.970620497024801}",25,0,-60.938045938483306,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
163,False,"{'a': 0.5, 'e': 0.9702584818628133}",25,0,-77.11028898204266,"{0: 17, 1: 0, 2: 6, 3: 2, 4: 0}",0
164,False,"{'a': 0.5, 'e': 0.9698942836196508}",25,0,-89.08696978765444,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
165,False,"{'a': 0.5, 'e': 0.9695279031147593}",30,0,-195.96141936801655,"{0: 17, 1: 2, 2: 5, 3: 4, 4: 2}",0
166,False,"{'a': 0.5, 'e': 0.9691593411724948}",20,0,-144.32851136304566,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
167,False,"{'a': 0.5, 'e': 0.9687885986221216}",20,0,-53.831995940433835,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
168,False,"{'a': 0.5, 'e': 0.9684156762978101}",20,0,-73.14918406297387,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
169,False,"{'a': 0.5, 'e': 0.9680405750386356}",20,0,-21.483894875340763,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
170,False,"{'a': 0.5, 'e': 0.9676632956885756}",20,0,-97.92488008218551,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
171,False,"{'a': 0.5, 'e': 0.9672838390965085}",25,0,-40.39716171050463,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
172,False,"{'a': 0.5, 'e': 0.9669022061162116}",20,0,-173.07116866928166,"{0: 12, 1: 0, 2: 3, 3: 2, 4: 3}",0
173,False,"{'a': 0.5, 'e': 0.9665183976063587}",20,0,-56.94410051256604,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
174,False,"{'a': 0.5, 'e': 0.966132414430519}",25,0,-58.000237535699,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
175,False,"{'a': 0.5, 'e': 0.9657442574571544}",20,0,-109.80896679251649,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
176,False,"{'a': 0.5, 'e': 0.965353927559618}",30,18,-12.057200105731425,"{0: 8, 1: 3, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.9649614256161518}",20,0,-90.63219857653684,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
178,False,"{'a': 0.5, 'e': 0.9645667525098851}",20,6,-58.604979689609166,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
179,False,"{'a': 0.5, 'e': 0.9641699091288323}",25,0,-79.01855374837442,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
180,False,"{'a': 0.5, 'e': 0.9637708963658905}",20,0,-58.269440964044136,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
181,False,"{'a': 0.5, 'e': 0.9633697151188385}",30,16,-74.26096650759041,"{0: 10, 1: 0, 2: 1, 3: 2, 4: 1}",1
